Event Name;Event Date;Event Location;Event Category;Event Type;Organizing Company;Company Website;Event Url
Bushy Park or Bust Permanent;Friday, December 31, 1999 @  1:00 PM (UTC) - Tuesday, December 31, 2019 @  1:00 PM (UTC);  Queens Walk Cornelian Bay Hobart , Tasmania , Australia 7000 ;cycling; Cycling; ;http://regonline.activeglobal.com/Bushy_Park_Perm;http://www.active.com//hobart-tasmania/cycling/bushy-park-or-bust-permanent-1999?int=72-3-A85c8304a8-c169-45e5-ae74-b2ba16f13e5b
Roll Into The Holidays;Saturday, November 19, 2016;Aztec Cycles 901 Main Street Stone Mountain , GA 30083 ;cycling; Cycling Metric Century;Southern Bicycle League;http://www.BikeSBL.org;http://www.active.com//stone-mountain-ga/cycling/races/roll-into-the-holidays-2016?int=72-3-A68c10e3c8-c8ba-487b-ac05-74c8896dc3fd
10th Annual Stinky Spoke 2017;Saturday, January 21, 2017;Redhook Brewery 14300 NE 145th Street Woodinville , WA 98072 ;cycling; Cycling Beginner Woodinville, WA;Stinky Spoke;http://stinkyspoke.org;http://www.active.com//woodinville-wa/cycling/mountain-biking-races/10th-annual-stinky-spoke-2017?int=72-3-A10fc191d1d-15fc-433c-bb16-b5114d7fa29d
RAUL ALCALA CHALLENGE BROWNSVILLE 2016;Sunday, November  6, 2016;ITEC Center. (Texas Southmost College) 301 Mexico Blvd Downtown Brownsville, Brownsville , TX 78520 ;cycling; Cycling Century Half Century;Raul Alcala Challenge;http://www.granfondo.mx/Brownsville;http://www.active.com//brownsville-tx/cycling/races/raul-alcala-challenge-brownsville-2016?int=72-3-A9b7dbce25-b007-4764-9485-dd59a3ca02ba
Mission to Mission Charity Bike Tour 2016;Saturday, December  3, 2016;Mission Park Pavilions aka Mission County Park #1 802 VFW Blvd San Antonio , TX 78214 ;cycling; Cycling San Antonio, TX;MTR Charities, Inc;http://www.m2msa.com;http://www.active.com//san-antonio-tx/cycling/mission-to-mission-charity-bike-tour-2016?int=72-3-A119e20971d-c4c9-439f-aadc-21da68c182b0
Tour de Felasco 2017;Saturday, January 14, 2017;San Felasco Hammock Preserve State Park 13201 Progress Blvd Alachua , FL 32615 ;cycling; Cycling Mountain Biking;Friends of San Felasco;http://www.sanfelasco.org/tour-de-felasco-2017/;http://www.active.com//alachua-fl/cycling/mountain-biking-races/tour-de-felasco-2017?int=72-3-A2ef868d7b-3bc8-48cb-9d86-b9ab680d2a3b
Session 2 - Girl&#x27ands Skateboard Camp;Monday, June 26, 2017 - Monday, July  3, 2017;Windells Campus 59550 E Hwy 26 Sandy , OR 97055 ;cycling; Winter Sports;We Are Camp; ;http://www.active.com/http://www.activekids.com/sandy-or/arts-and-crafts/camp/session-2-girl-s-skateboard-camp-2017?int=72-3-A973cc920d-33ce-4729-b4c5-a3a3dbb0eff9
Mad Dog Spinning 4 Sat. Tory;Saturday, May  6, 2017 @  8:30 AM (EDT) - Saturday, July  8, 2017 @  9:30 AM (EDT);Hingham Recreation Center 210 Central Street Hingham , MA 02043 ;cycling; Cycling Spinning Hingham, MA;Hingham Recreation; ;http://www.active.com//hingham-ma/cycling/spinning-classes/mad-dog-spinning-4-sat-tory-2017?int=72-3-A5cc587df3-d81b-468a-81c5-3fb50e3cb275
Women V Cancer Ride the Night 2017;Saturday, May 27, 2017 - Sunday, May 28, 2017;Royal Windsor Racecourse Maidenhead Road Windsor , Berkshire , United Kingdom SL4 5JJ ;cycling; Cycling Metric Century;Action for Charity;http://www.ridethenight.co.uk;http://www.active.com//windsor-berkshire/cycling/races/women-v-cancer-ride-the-night-2017?int=72-3-A129e29d96-8ca0-4f9a-8522-0098de13d15d
2017 Etape Loch Ness - Register Your Interest;Sunday, April 23, 2017;Etape Loch Ness Eden Court Theatre Bishops Road Inverness , United Kingdom IV3 5SA ;cycling; Cycling;Caledonian Concepts (Scotland) Ltd;http://www.etapelochness.com/;http://www.active.com//inverness/cycling/races/etape-loch-ness-register-your-interest-2017?int=72-3-A3fadcf03e-57a3-4f1a-9432-77126a1aae0d
Winter Classic Poker Ride;Sunday, December 11, 2016;Mellow Mushroom 5350 E. High Street #115 Phoenix , AZ 85054 ;cycling; Cycling Phoenix, AZ;RESCUE;https://www.facebook.com/events/643252019171652/;http://www.active.com//phoenix-az/cycling/races/winter-classic-poker-ride-2016?int=72-3-A711fb6ee3-5cad-4352-aff1-b7a0b7b6c464
Falkirk Funduro!;Saturday, November 26, 2016;Greenrig Car Park Lochgreen Road Callendar Estate Falkirk , United Kingdom FK1 3AQ ;cycling; Cycling Mountain Biking Beginner;The Scottish Mountain Bike Consortium;http://www.muckmedden.co.uk/falkirk-funduro/;http://www.active.com//falkirk/cycling/mountain-biking-races/falkirk-funduro-2016?int=72-3-A6c835e1b1-03d3-44da-993f-9e5c668481a5
Bike Ride Arizona with LaVerne: Red Mt. 100;Sunday, December  4, 2016;Needle Rock Rec area Service Rd 20 Fountain Hills , AZ 85268 ;cycling; Cycling Century Fountain Hills, AZ;LaVerne Lindsey;http://bikeridearizona.weebly.com/braz-events/century-challenge;http://www.active.com//fountain-hills-az/cycling/races/bike-ride-arizona-with-laverne-red-mt-100-2016?int=72-3-A41b0000e1-c110-4aba-a8c2-d17e9848ea3f
Session 6 - Grom BMX Camp;Saturday, August  5, 2017 - Saturday, August 12, 2017;Windells Campus 59550 E Hwy 26 Sandy , OR 97055 ;cycling; Cycling;We Are Camp; ;http://www.active.com/http://www.activekids.com/sandy-or/cycling/camps/session-6-grom-bmx-camp-2017?int=72-3-A19a0d60c5-256b-4b74-a6f6-d84147aa4ce0
Cycling Classes - Cycle 30;Wednesday, January  6, 2016 @ 10:30 AM (EST) - Wednesday, December 28, 2016 @ 11:00 AM (EST);West Chester Branch 605 Airport Road West Chester , PA 19380 ;cycling; Cycling West Chester, PA;YMCA OF THE GREATER BRANDYWINE; ;http://www.active.com//west-chester-pa/cycling/classes/cycling-classes-cycle-30-2016?int=72-3-A3eb5c5b83-4268-4412-b772-2ff8962df8d8
ARIZONA GRAN FONDO;Sunday, December  4, 2016;ARIZONA GRAN FONDO E. Chaparral Road Scottsdale , AZ 85250 ;cycling; Cycling Scottsdale, AZ;Ciclismo Volpi;http://azgranfondo.com;http://www.active.com//scottsdale-az/cycling/races/arizona-gran-fondo-2016?int=72-3-A9e1eb4e50-2c42-4f0f-b2a2-c97dda46f230
Myakka Wild Run or Ride;Sunday, February 19, 2017;Myakka State Forest 2000 South River Road Englewood , FL 34295 ;cycling; Running Distance Running 10K 5K Beginner;SCORR;http://www.scorrider.com/;http://www.active.com//englewood-fl/cycling/mountain-biking-races/myakka-wild-run-or-ride-2017?int=72-3-A88a11f60b-e84d-4095-8bf7-e70ef8d2e3b5
2016 Sweatin' Burnt Orange Bike Tour;Sunday, November 20, 2016;Blanco High School 1215 4th Street Blanco , TX 78606 ;cycling; Cycling;Texas Cycling;http://utexascycling.com/sbobt16;http://www.active.com//blanco-tx/cycling/races/sweatin-burnt-orange-bike-tour-2016?int=72-3-A103af5af79-bbf7-4f18-bd0c-5c753cd8dc5b
2016 Palm Desert Century;Saturday, November 12, 2016;Palm Desert 74-902 College Drive Palm Desert , CA 92211 ;cycling; Cycling Century Metric Century Palm Desert, CA;Shadow Tour, LLC;http://www.shadowtour.com/Century_Rides/Palm_Desert.htm;http://www.active.com//palm-desert-ca/cycling/races/palm-desert-century-2016?int=72-3-A3ddb30377-6f4d-4348-90ae-a7b4f35023c1
2016 Galoshes - Youth Group Registration;Friday, November  4, 2016 - Sunday, November  6, 2016;Camp IAWAH 304 IAWAH Rd RR 2 Godfrey , ON , Canada K0H 1T0 ;cycling;  ;Camp IAWAH; ;http://www.active.com/http://www.activekids.com/godfrey-on/religion/camp/galoshes-youth-group-registration-2016?int=72-3-A7b24994c5-6477-4678-8b7a-8b34841102cc
Session 6 - Grom BMX Camp;Saturday, August  5, 2017 - Saturday, August 12, 2017;Windells Campus 59550 E Hwy 26 Sandy , OR 97055 ;cycling; Cycling;We Are Camp; ;http://www.active.com/http://www.activekids.com/sandy-or/cycling/camps/session-6-grom-bmx-camp-2017?int=72-3-A119a0d60c5-256b-4b74-a6f6-d84147aa4ce0
4th Annual Crime Stoppers Spirit Ride;Saturday, November 12, 2016;Livingston High School 400 FM 350 S Livingston , TX 77351 ;cycling; Cycling;Polk County Crime Stoppers;http://www.PolkCountySpiritRide.com;http://www.active.com//livingston-tx/cycling/races/4th-annual-crime-stoppers-spirit-ride-2016?int=72-3-A9ac1698fb-fdcb-4a4e-b134-b5f3a1eab558
I'll Take the High Road Permanent;Friday, December 31, 1999 @  1:00 PM (UTC) - Tuesday, December 31, 2019 @  1:00 PM (UTC);  Kangaroo Bay Drive Bellerive , Tasmania , Australia 7018 ;cycling; Cycling; ;http://regonline.activeglobal.com/Take_High_Road_Perm;http://www.active.com//bellerive-tasmania/cycling/i-ll-take-the-high-road-permanent-1999?int=72-3-A5c3a11386-b911-4c6e-99c9-ace88634c81d
Baldwin Bicycle Fest, le Tour de Foley Ride 2016;Saturday, November  5, 2016;Heritage Park, Foley 125 E Laurel Ave Foley , AL 36535 ;cycling; Cycling;Foley Lions Club;https://www.baldwinbikefest.com/;http://www.active.com//foley-al/cycling/races/baldwin-bicycle-fest-le-tour-de-foley-ride-2016?int=72-3-A7f6623914-8856-4554-9443-5a6c41c2ea5b
Mammoth Enduro;Saturday, November 19, 2016 - Sunday, November 20, 2016;Maitai Golf Course 336 Maitai Valley Road Maitai Nelson , New Zealand 7010 ;cycling; Cycling Mountain Biking;Nelson Mountain Bike Club;https://www.nelsonmtb.club/race/mammoth-enduro-2016/;http://www.active.com//nelson/cycling/mountain-biking-races/mammoth-enduro-2016?int=72-3-A11e32dd5d9-e7a3-41f6-8646-951a94d09450
BCO Graffiti Art and Bike Ride;Sunday, November 20, 2016 @  1:00 PM (CST);Market Square Park (in front of Niko Niko's) 301 Milam Street Houston , TX 77002 ;cycling; Cycling Houston, TX; ; ;http://www.active.com//houston-tx/cycling/classes/bco-graffiti-art-and-amp-bike-ride-2016?int=72-3-A10678a207a-2320-4554-bcf7-db4d393ceb4c
Mad Dog Spinning 4 Wed. w/Polly;Wednesday, May  3, 2017 @  8:30 AM (EDT) - Wednesday, July  5, 2017 @  9:30 AM (EDT);Hingham Recreation Center 210 Central Street Hingham , MA 02043 ;cycling; Cycling Spinning Hingham, MA;Hingham Recreation; ;http://www.active.com//hingham-ma/cycling/spinning-classes/mad-dog-spinning-4-wed-w-polly-2017?int=72-3-A76b54ea50-aba6-4964-8d96-bd9a3d773851
2016 Tour de Gruene TEAM Time Trial;Sunday, November  6, 2016 - Sunday, November  6, 2016;Lazy L & L 11699 River Road New Braunfels , TX 78132 ;cycling; Cycling New Braunfels, TX;Tour de Gruene;http://www.tourdegruene.com;http://www.active.com//new-braunfels-tx/cycling/races/tour-de-gruene-team-time-trial-2016?int=72-3-A31d6f851d-a05a-4746-8f04-183540bef51c
Spinning Classes - Spinning;Wednesday, September 28, 2016 @  5:45 PM (EDT) - Wednesday, December  7, 2016 @  6:30 PM (EST);Bodies in Balance Indoor Cycling 2165 W Stadium Blvd Ann Arbor , MI 48103 ;cycling; Cycling Spinning Ann Arbor, MI;Ann Arbor Public School System; ;http://www.active.com/http://www.activekids.com/ann-arbor-mi/cycling/spinning-classes/spinning-classes-spinning-2016-25859056?int=72-3-A10a1dd1943-382f-4ffc-aef5-62b7ffcc8a9f
Angkor Wat Bike 4 Kids;Saturday, December  3, 2016;Elephant Terrace, Angkor Thom Bayon Temple of Angkor Thom, Siem Reap Elephant Terrace of Bayon Temple Siem Reap , Cambodia 17252 ;cycling; Cycling Mountain Biking;Active Sports Asia;http://www.activesport.com.kh;http://www.active.com//siem-reap-cambodia/cycling/mountain-biking-races/angkor-wat-bike-4-kids-2016?int=72-3-A29d2e7b67-0ac0-43dc-84ec-e5831e391b98
Farm to Fork Fondo - Hudson Valley;Sunday, June  4, 2017;Hudson Valley Orange County Warwick , NY 10990 ;cycling; Cycling;Wrenegade Sports;http://www.farmforkfondo.com;http://www.active.com//warwick-ny/cycling/races/farm-to-fork-fondo-hudson-valley-2017?int=72-3-A73bab62d8-f47f-428b-b908-e98648c26722
Hugh Jass 2016-2017 WHOLE Season;Saturday, October 15, 2016 - Saturday, March  4, 2017;  ALL RACES Milwaukee , WI 53130 ;cycling; Cycling Milwaukee, WI;Wheel and Sprocket;http://hughjass.bike;http://www.active.com//milwaukee-wi/cycling/races/hugh-jass-2017-whole-season-2016?int=72-3-A98d40595e-9db8-4dc3-bbe2-7d54e1624b07
The Race Against Extinction Earth Day Outdoor Activity Challenge - NYC;Saturday, April 22, 2017 - Sunday, April 30, 2017;ANY WHERE ANY PLACE Strawberry Fields, Central Park West and 72nd Street New York , NY 10023 ;cycling; New York, NY;The Race Against Extinction;http://theraceagainstextinction.org/;http://www.active.com//new-york-ny/cycling/mountain-biking-races/the-race-against-extinction-earth-day-outdoor-activity-challenge-nyc-2017?int=72-3-A27ff6a25e-cd37-4365-bc86-df2d18fdb756
12th Annual Cucamonga Challenge;Saturday, May 20, 2017;Central Park- Rancho Cucamonga 11200 Base Line Road Rancho Cucamonga , CA 91701 ;cycling; Cycling 25 Mile 1 Mile 5K 10K Beginner Rancho Cucamonga, CA;Friends of the Pacific Electric Trail ;http://www.cucamongachallenge.com;http://www.active.com//rancho-cucamonga-ca/running/distance-running-races/12th-annual-cucamonga-challenge-2017?int=72-3-A558fbab2b-a71e-40eb-8cf2-02807fb53851
Mad Dog Spinning 2 Monday Polly;Monday, November 28, 2016 @  8:30 AM (EST) - Monday, January 30, 2017 @  9:30 AM (EST);Hingham Recreation Center 210 Central Street Hingham , MA 02043 ;cycling; Cycling Spinning Hingham, MA;Hingham Recreation; ;http://www.active.com//hingham-ma/cycling/spinning-classes/mad-dog-spinning-2-monday-polly-2016?int=72-3-A1021f4da67-1a92-4bda-9f42-6ee4394900d9
5th Annual Bike to Build;Saturday, February 18, 2017;First Presbyterian Church of Fort Lauderdale 401 SE 15th Ave Fort Lauderdale , FL 33301 ;cycling; Cycling 25 Mile Fort Lauderdale, FL;Habitat for Humanity - Bike to Build; ;http://www.active.com//fort-lauderdale-fl/cycling/races/5th-annual-bike-to-build-2017?int=72-3-A717d3fa6e-427f-48fc-a23a-0903ceadaac2
The XTERRA Real MTB Triathlon;Saturday, March 25, 2017;Granite Beach 8000 Douglas Blvd. Granite Bay , CA 95746 ;cycling; Cycling Mountain Biking Beginner Granite Bay, CA;Total Body Fitness;http://www.totalbodyfitness.com;http://www.active.com//granite-bay-ca/cycling/mountain-biking-races/the-xterra-real-mtb-triathlon-2017?int=72-3-A900e37b00-724f-47ed-9b2f-61a9aafa92fc
